times2_sh;times2_mh;times2_lh;x_wind_10m_sh;x_wind_10m_mh;x_wind_10m_lh;y_wind_10m_sh;y_wind_10m_mh;y_wind_10m_lh;;;
1583064000;1583085600;1583107200;1.0683917999267578;3.5818119049072266;9.085773468017578;10.138153076171875;8.295330047607422;9.404390335083008;10.19429295;9.035589473;13.07646118
1583067600;1583089200;1583110800;1.9517078399658203;3.8514575958251953;8.843793869018555;10.142267227172852;8.055677414;9.566741943359375;10.32834682;8.929034898;13.02824783
1583071200;1583092800;1583114400;4.216043472290039;4.600915908813477;8.548635482788086;9.373208999633789;8.217508316040039;9.137222290039062;10.27774632;9.417848487;12.51271353
1583074800;1583096400;1583118000;5.510847091674805;3.183572769165039;10.36276626586914;8.034963607788086;9.346260070800781;8.293901443481445;9.743206651;9.873586627;13.27312043
1583078400;1583100000;1583121600;4.833307266235352;7.674268723;10.474464416503906;7.281147003173828;8.830450057983398;7.887201309204102;8.739334117;11.69919863;13.11191631
1583082000;1583103600;1583125200;4.184595108032227;8.718269348144531;9.719598770141602;7.877651214599609;9.470314025878906;8.501375198364258;8.920102291;12.87225964;12.91293849
1583085600;1583107200;1583128800;4.424901962280273;9.895336151123047;8.731342315673828;7.319244384765625;8.374921798706055;10.385921478271484;8.552841384;12.96367975;13.56848199
1583089200;1583110800;1583132400;3.9643325805664062;8.038946151733398;8.703910827636719;6.814170837402344;9.447256088256836;10.386659622192383;7.883454637;12.40464844;13.5514118
1583092800;1583114400;1583136000;4.585882186889648;9.167089462280273;8.359506607055664;7.549551010131836;8.405860900878906;10.975103378295898;8.833234735;12.43760534;13.79616776
1583096400;1583118000;1583139600;4.092620849609375;9.393741607666016;7.558618545532227;8.662979125976562;9.540700912475586;11.994731903076172;9.581062194;13.38907597;14.17766933
1583100000;1583121600;1583143200;7.7466583251953125;9.385902404785156;9.078096389770508;8.286859512329102;9.998580932617188;10.39971923828125;11.3438422;13.71374437;13.80456426
1583103600;1583125200;1583146800;9.560174942016602;9.497472763061523;8.705877304077148;8.431158065795898;10.035907745361328;7.0585784912109375;12.74681808;13.81743222;11.2078468
1583107200;1583128800;1583150400;9.554235458374023;9.089780807495117;8.134645462036133;6.971735000610352;9.205230712890625;8.414234161376953;11.82744707;12.93678428;11.70349492
1583110800;1583132400;1583154000;8.841285705566406;9.062177658081055;7.704416275024414;8.111625671386719;9.863826751708984;8.294622421264648;11.99861675;13.39470575;11.32072397
1583114400;1583136000;1583157600;8.498682022094727;9.139465332;6.882249832;8.804449081420898;10.644828796386719;8.108551025390625;12.23707153;14.03004657;10.63550481
1583118000;1583139600;1583161200;9.692043304;7.907358169555664;5.909187316894531;8.487047195;11.668161392211914;8.295257568359375;12.88276653;14.0951163;10.18478242
1583121600;1583143200;1583164800;9.165155410766602;8.752527236938477;4.814357757568359;9.474769592285156;10.018562316894531;8.655115127563477;13.18223549;13.30332003;9.903992048
1583125200;1583146800;1583168400;9.044929504394531;8.419284821;4.1396026611328125;10.123723983764648;9.316705703735352;9.742425918579102;13.57573339;12.55728323;10.58542266
1583128800;1583150400;1583172000;9.414791107177734;8.209384918;4.899467468261719;8.693080902;8.021799087524414;9.472354888916016;12.81436488;11.47794674;10.66444038
1583132400;1583154000;1583175600;10.05917739868164;7.498830795288086;4.517583847045898;8.872211456298828;7.731681823730469;9.938829422;13.41279934;10.77085731;10.91736663
1583136000;1583157600;1583179200;9.703615188598633;6.738233566;3.5515613555908203;10.021482467651367;7.760154724121094;9.892692565917969;13.94956123;10.27734367;10.51089693
1583139600;1583161200;1583182800;8.940795898;5.562005996704102;2.3246421813964844;10.243095397949219;8.206752777;10.325899124145508;13.59628018;9.913964991;10.58433531
1583143200;1583164800;1583186400;8.520517349243164;4.779371262;1.2670917510986328;9.892898559570312;8.61648941;10.715103149414062;13.05636465;9.853237002;10.78976168
1583146800;1583168400;1583190000;9.01266861;4.793333053588867;0.6552696228027344;8.724159240722656;9.537614822387695;11.331161499023438;12.54349034;10.67436828;11.35009248
1583150400;1583172000;1583193600;8.145732879638672;5.9121551513671875;0.4672050476074219;8.073919296264648;9.295751571655273;11.280874252319336;11.46913846;11.01655916;11.29054491
1583154000;1583175600;1583197200;7.610248565673828;5.057935715;-0.797908783;8.178909301757812;9.931688309;10.749229431152344;11.17185932;11.14545407;10.77880289
