times1_sh;times1_mh;times1_lh;times2_sh;times2_mh;times2_lh;x_wind_10m_sh;x_wind_10m_mh;x_wind_10m_lh;y_wind_10m_sh;y_wind_10m_mh;y_wind_10m_lh;;;;;;;;;;;;;;;;;;;;
1577872800;1577894400;1577916000;10.08325958;10.62864876;8.657195091;9.883529663;9.596298218;12.48529053;14.11935843;14.31981543;15.19307429;14.11935843;14.16821142;14.21706442;14.26591741;14.31477041;14.3636234;12.91977571;16.04090309;12.83272247;12.8737058;12.91468913;12.95567246;12.99665578;13.03763911;11.94929301;12.3;0.350706989;-0.619775706;12.91977571;0.413806347
1577876400;1577898000;1577919600;10.41791344;10.11798286;8.713694572;9.959244728;9.3568573;12.94804382;14.4124764;13.78130457;15.60705968;14.4124764;14.07308851;13.73370062;13.39431272;13.05492483;12.71553694;13.00574212;16.34827805;13.07862244;13.12041321;13.16220398;13.20399475;13.24578552;13.28757629;11.85311712;12.1;0.246882883;-0.905742116;13.00574212;0.13471725
1577880000;1577901600;1577923200;9.213074684;10.07094955;8.422139168;8.263674736;9.767807007;13.06867981;12.37614905;14.0297569;15.54743774;12.37614905;12.51513679;12.65412453;12.79311227;12.9321;13.07108774;13.09170853;16.66170883;13.32936706;13.29081726;13.25226746;13.21371765;13.17516785;13.13661804;11.75694122;12.2;0.443058776;-0.891708525;13.09170853;0.155628152
1577883600;1577905200;1577926800;9.925018311;9.958169937;8.665512085;8.717803955;10.46020508;12.85063171;13.21007548;14.44233495;15.49934951;13.21007548;13.29221503;13.37435458;13.45649413;13.53863368;13.62077323;13.03311933;16.3725853;13.09806824;13.09683838;13.09560852;13.09437866;13.09314881;13.09191895;11.69612618;12.7;1.003873824;-0.333119331;13.03311933;0.709530216
1577887200;1577908800;1577930400;10.43322468;8.926197052;9.45526123;8.883560181;11.46437073;12.16204834;13.70291278;14.52958327;15.40510905;13.70291278;13.72766713;13.75242147;13.77717582;13.80193017;13.82668451;12.97453014;16.36336136;13.09068909;13.07831192;13.06593475;13.05355759;13.04118042;13.02880325;11.63531113;11.6;-0.035311128;-1.374530137;12.97453014;-0.336567729
1577890800;1577912400;1577934000;10.14211369;8.65326786;9.960876465;9.43397522;12.29754639;12.13021851;13.85143886;15.03691098;15.69589949;13.85143886;13.8495266;13.84761433;13.84570207;13.84378981;13.84187755;12.91594094;16.27053261;13.01642609;13.03956757;13.06270905;13.08585052;13.108992;13.13213348;11.57449608;11.3;-0.27449608;-1.615940943;12.91594094;-0.582665665
1577894400;1577916000;1577937600;10.3542614;8.395266533;10.39193439;9.183349609;12.46647644;12.18009949;13.83996529;15.02975499;16.01084395;13.83996529;13.839697;13.83942872;13.83916044;13.83889216;13.83862387;12.85735175;16.4440937;13.15527496;13.08330714;13.01133931;12.93937149;12.86740366;12.79543584;11.51368103;11.5;-0.013681032;-1.357351748;12.85735175;-0.32876361
1577898000;1577919600;1577941200;10.74345112;9.172273636;10.35706806;8.722290039;12.78866577;12.15907288;13.83835559;15.73787075;15.97222314;13.83835559;13.66031092;13.48226625;13.30422158;13.12617691;12.94813224;12.79876255;15.90433502;12.72346802;12.75668742;12.78990682;12.82312622;12.85634562;12.88956502;11.45286598;10.2;-1.252865984;-2.598762554;12.79876255;-1.574861546
1577901600;1577923200;1577944800;9.486364365;7.03817749;10.279953;8.548919678;13.36729431;12.05360413;12.77008757;15.10696858;15.8419319;12.77008757;13.00335315;13.23661873;13.46988431;13.70314989;13.93641547;12.74017336;16.15348053;12.92278442;12.97776693;13.03274943;13.08773193;13.14271443;13.19769694;11.39205094;10.4;-0.992050936;-2.34017336;12.74017336;-1.320959491
1577905200;1577926800;1577948400;9.610719681;8.578577995;9.819137573;10.41220093;12.87776184;12.00819397;14.16968105;15.4734854;15.51167899;14.16968105;14.26743672;14.3651924;14.46294807;14.56070375;14.65845943;12.70738838;16.5658493;13.25267944;13.26426747;13.27585551;13.28744354;13.29903157;13.31061961;11.47247111;12.5;1.027528888;-0.207388383;12.70738838;0.80920269
1577908800;1577930400;1577952000;9.12556839;9.308549881;10.48220825;11.59611511;12.85882568;12.18928528;14.7562151;15.87446058;16.07654706;14.7562151;14.75501723;14.75381936;14.75262148;14.75142361;14.75022574;12.67460341;16.65275955;13.32220764;13.39001414;13.45782064;13.52562714;13.59343363;13.66124013;11.55289129;12.2;0.647108712;-0.474603407;12.67460341;0.539364863
1577912400;1577934000;1577955600;8.852240562;9.937393188;10.13568115;11.79710388;12.39657593;12.53816223;14.74902787;15.88794757;16.12257872;14.74902787;14.79903968;14.84905149;14.8990633;14.94907512;14.99908693;12.64181843;17.16130829;13.72904663;13.7279424;13.72683818;13.72573395;13.72462972;13.72352549;11.63331146;11.8;0.166688536;-0.841818431;12.64181843;0.169527044
1577916000;1577937600;1577959200;9.111398697;10.48046875;9.773239136;11.97738647;12.22912598;12.97195435;15.04909874;16.10564334;16.24154558;15.04909874;15.11702143;15.18494411;15.25286679;15.32078947;15.38871216;12.60903345;17.15302658;13.72242126;13.816775;13.91112874;14.00548248;14.09983622;14.19418996;11.71373164;11.9;0.18626836;-0.709033454;12.60903345;0.299689226
1577919600;1577941200;1577962800;9.138824463;10.37228394;9.882720947;12.4655304;12.45021057;12.8454895;15.45663484;16.20469121;16.20724449;15.45663484;15.23645883;15.01628283;14.79610682;14.57593081;14.3557548;12.57624848;17.86067963;14.2885437;14.20456441;14.12058513;14.03660584;13.95262655;13.86864726;11.79415182;12.6;0.805848184;0.023751522;12.57624848;1.029851398
