times2_sh;times2_mh;times2_lh;x_wind_10m_sh;x_wind_10m_mh;x_wind_10m_lh;y_wind_10m_sh;y_wind_10m_mh;y_wind_10m_lh;;;
1578081600;1578103200;1578124800;13.23280334;13.9259119;3.616843224;-10.76776123;-10.79530334;-14.07182312;17.06023934;17.62014746;14.52920372
1578085200;1578106800;1578128400;13.51361084;6.55523777;4.234358788;-10.19441223;-15.02229309;-13.03677368;16.92760227;16.39025417;13.70719746
1578088800;1578110400;1578132000;13.53034973;7.132995605;2.221967697;-9.812332153;-15.40704346;-12.01005554;16.71383338;16.97812164;12.21386812
1578092400;1578114000;1578135600;13.46050072;6.923452377;1.908938408;-9.737289429;-14.54692078;-11.00682068;16.61324426;16.11046545;11.17113008
1578096000;1578117600;1578139200;11.5180769;5.413835526;3.090367317;-9.467575073;-15.60366821;-9.313217163;14.90976436;16.51617621;9.812562564
1578099600;1578121200;1578142800;12.56512737;4.108023643;3.984230995;-10.0382843;-14.52813721;-7.983627319;16.08258616;15.09776901;8.922578203
1578103200;1578124800;1578146400;13.3605299;3.864385605;4.609554291;-10.74766541;-13.89970398;-6.231872559;17.14689683;14.42689318;7.751401573
1578106800;1578128400;1578150000;7.666743279;2.657438278;4.616142273;-10.11181641;-12.51425171;-4.021331787;12.68967232;12.79329801;6.122081249
1578110400;1578132000;1578153600;6.912102699;2.023468018;4.272503853;-15.30519104;-12.07315063;-2.574157715;16.79363083;12.24154357;4.988043415
1578114000;1578135600;1578157200;6.413947105;2.508829117;3.986914635;-14.46469116;-10.73931885;-0.979949951;15.82295825;11.02847192;4.105580375
1578117600;1578139200;1578160800;3.814495087;2.374912262;4.693887711;-13.44548035;-9.420166016;0.516693115;13.97609798;9.714923367;4.722240317
1578121200;1578142800;1578164400;3.892957687;3.302742004;4.867466927;-13.79925537;-7.748641968;2.83656311;14.33787182;8.423156006;5.633677712
1578124800;1578146400;1578168000;3.521495819;4.109455109;5.305089951;-13.79814148;-6.378372192;4.589996338;14.24042279;7.58757228;7.015129775
1578128400;1578150000;1578171600;2.644638062;4.328838348;5.363056183;-13.2099762;-4.033309937;6.773513794;13.47210383;5.916623234;8.639609988
1578132000;1578153600;1578175200;1.908148766;4.561367989;6.011439323;-12.46630859;-2.383804321;8.674972534;12.61149799;5.14670778;10.55426697
1578135600;1578157200;1578178800;1.684087753;4.450991631;5.487868309;-11.11430359;-1.322814941;10.28379822;11.24116968;4.643400248;11.6564662
1578139200;1578160800;1578182400;1.540213585;3.599057198;4.102092743;-8.016876221;0.901870728;13.72264099;8.163489587;3.710334691;14.32264084
1578142800;1578164400;1578186000;2.750315666;4.117499352;4.686467171;-6.725402832;3.113220215;14.30310059;7.266036025;5.161970652;15.05130097
1578146400;1578168000;1578189600;3.243276596;4.311063766;7.122631073;-5.725692749;5.375030518;13.30980778;6.580455952;6.890299258;15.09578936
1578150000;1578171600;1578193200;4.204810143;4.696772575;8.551729202;-3.758346558;7.629257202;11.28735542;5.63964513;8.9590869;14.16108982
1578153600;1578175200;1578196800;4.242389679;5.547107697;9.684599876;-1.905197144;9.758575439;11.77690792;4.650553338;11.224981;15.24752554
1578157200;1578178800;1578200400;3.714235306;4.93258667;10.48642921;-0.97517395;11.54037476;11.60869312;3.840118246;12.55032513;15.64375127
1578160800;1578182400;1578204000;3.069876671;3.714788437;10.5236578;0.612518311;13.78977966;10.93749809;3.13038679;14.28137515;15.17815002
1578164400;1578186000;1578207600;2.880482674;4.08868885;11.56260109;2.956237793;15.08998871;9.345060349;4.127532231;15.63410169;14.86687246
1578168000;1578189600;1578211200;3.786460876;5.947843552;12.49184799;5.442443848;14.67615032;8.861701965;6.630043816;15.83560012;15.31587503
1578171600;1578193200;1578214800;4.805657387;7.553296089;13.14025688;7.704086304;13.01586151;8.209935188;9.080048937;15.04875186;15.49417267
1578175200;1578196800;1578218400;5.57681942;8.829596519;12.75797462;9.813049316;11.83732414;8.498716354;11.28702138;14.76766798;15.32951715
1578178800;1578200400;1578222000;5.10881424;9.356554031;12.10421753;11.74188232;12.06224346;8.157756805;12.80514676;15.2657401;14.59661187
1578182400;1578204000;1578225600;3.37494278;11.39821815;11.36026001;13.2011261;9.650129318;7.789166451;13.62570985;14.93467017;13.7741287
1578186000;1578207600;1578229200;3.338059425;12.29449463;11.24479675;15.00871277;8.326557159;6.650253296;15.3754382;14.84877612;13.0641235
1578189600;1578211200;1578232800;5.905819893;12.93840599;10.64161682;14.61550903;8.174670219;4.411826134;15.76362309;15.30449551;11.51990531
1578193200;1578214800;1578236400;8.073922157;13.09933472;9.543037415;11.69779682;7.926642418;4.051038742;14.2136086;15.31091865;10.3672792
