times2_sh;times2_mh;times2_lh;relative_humidity_2m_sh;relative_humidity_2m_mh;relative_humidity_2m_lh;cloud_base_altitude_sh;cloud_base_altitude_mh;cloud_base_altitude_lh;wind_speed_of_gust_sh;wind_speed_of_gust_mh;wind_speed_of_gust_lh
1606363200.0;1606384800.0;1606406400.0;0.7036046981811523;0.6590498685836792;0.5798718333244324;1195.671875;9.969209968386869e+36;9.969209968386869e+36;9.149775505065918;7.5053815841674805;8.391044616699219
1606366800.0;1606388400.0;1606410000.0;0.6795722246170044;0.6353376507759094;0.5952984690666199;1438.9398193359375;12712.26171875;9.969209968386869e+36;9.686936378479004;7.459261417388916;8.386222839355469
1606370400.0;1606392000.0;1606413600.0;0.7160407304763794;0.6183851957321167;0.6109689474105835;9.969209968386869e+36;12722.990234375;1315.727294921875;8.65166187286377;7.728822231292725;8.084343910217285
1606374000.0;1606395600.0;1606417200.0;0.7145606279373169;0.5949627161026001;0.6368481516838074;1086.754638671875;12726.2265625;1317.224365234375;8.651288032531738;7.82869815826416;10.598159790039062
1606377600.0;1606399200.0;1606420800.0;0.691459059715271;0.6067271828651428;0.6590803265571594;893.23388671875;1086.2305908203125;9652.7197265625;7.352705001831055;7.693546772003174;11.582623481750488
1606381200.0;1606402800.0;1606424400.0;0.6592786312103271;0.597022533416748;0.6888346672058105;9.969209968386869e+36;9.969209968386869e+36;991.2190551757812;6.58651876449585;8.825462341308594;12.944433212280273
1606384800.0;1606406400.0;1606428000.0;0.6360242366790771;0.5754313468933105;0.6953496932983398;12709.7744140625;9.969209968386869e+36;898.4761962890625;6.893634796142578;8.748446464538574;14.176806449890137
1606388400.0;1606410000.0;1606431600.0;0.6484451293945312;0.592322587966919;0.7170321941375732;1311.2442626953125;9.969209968386869e+36;812.5133666992188;7.270687103271484;8.691408157348633;15.108869552612305
1606392000.0;1606413600.0;1606435200.0;0.6110764741897583;0.6241068243980408;0.8446720838546753;12717.7314453125;1442.4632568359375;658.049560546875;7.150394916534424;9.205242156982422;14.947005271911621
1606395600.0;1606417200.0;1606438800.0;0.5953444242477417;0.6548226475715637;0.8515844345092773;12723.201171875;1443.960205078125;10188.7861328125;7.150287628173828;11.335590362548828;15.619888305664062
1606399200.0;1606420800.0;1606442400.0;0.5966870188713074;0.6791301369667053;0.7221747636795044;12727.4521484375;1445.4630126953125;10757.525390625;7.0507097244262695;12.322906494140625;12.474251747131348
1606402800.0;1606424400.0;1606446000.0;0.5748056173324585;0.684211015701294;0.7542946338653564;12729.685546875;1584.4522705078125;12696.765625;7.643102645874023;13.376507759094238;13.068516731262207
1606406400.0;1606428000.0;1606449600.0;0.5798256397247314;0.7149420380592346;0.7760537266731262;12729.4365234375;1203.7098388671875;2068.046142578125;7.9161787033081055;14.533625602722168;13.338622093200684
1606410000.0;1606431600.0;1606453200.0;0.5929940938949585;0.7494266629219055;0.802390456199646;12729.703125;812.4837036132812;2250.081787109375;8.935317039489746;14.606585502624512;12.663227081298828
1606413600.0;1606435200.0;1606456800.0;0.6274639368057251;0.8461216688156128;0.8354105353355408;1442.93603515625;812.9810180664062;1594.3206787109375;8.059619903564453;15.443778038024902;12.116351127624512
1606417200.0;1606438800.0;1606460400.0;0.6484136581420898;0.8021917343139648;0.8237374424934387;1444.4072265625;10760.734375;1328.3214111328125;9.904413223266602;14.515204429626465;11.970333099365234
1606420800.0;1606442400.0;1606464000.0;0.6797550916671753;0.7166966199874878;0.8327856063842773;1445.66748046875;12002.494140625;1210.08056640625;11.625926971435547;12.488072395324707;12.290689468383789
1606424400.0;1606446000.0;1606467600.0;0.6868658065795898;0.7540802955627441;0.8473883271217346;1584.4295654296875;12692.498046875;1099.8856201171875;13.085122108459473;11.945350646972656;12.161398887634277
1606428000.0;1606449600.0;1606471200.0;0.7139192819595337;0.7753515243530273;0.8252784013748169;1448.4462890625;2070.021484375;1210.6358642578125;14.529812812805176;12.324906349182129;11.732765197753906
1606431600.0;1606453200.0;1606474800.0;0.7405763864517212;0.804816484451294;0.831122636795044;812.716796875;2071.299560546875;1100.3994140625;14.692103385925293;12.304240226745605;11.81905746459961
1606435200.0;1606456800.0;1606478400.0;0.8369662761688232;0.808860182762146;0.8131474256515503;10764.6455078125;2254.224853515625;1211.375732421875;11.708429336547852;11.942707061767578;10.436775207519531
1606438800.0;1606460400.0;1606482000.0;0.8123540878295898;0.835700273513794;0.8188541531562805;10763.0908203125;2255.03662109375;1100.63818359375;13.881145477294922;12.371108055114746;10.700187683105469
1606442400.0;1606464000.0;1606485600.0;0.7967290878295898;0.8257362246513367;0.8292298913002014;12701.8515625;2255.059326171875;1100.0872802734375;12.806565284729004;12.254631042480469;11.181551933288574
1606446000.0;1606467600.0;1606489200.0;0.7440253496170044;0.7760688662528992;0.8099275827407837;12694.3818359375;2075.11865234375;1209.822509765625;12.05377197265625;12.104857444763184;11.917067527770996
1606449600.0;1606471200.0;1606492800.0;0.7673866748809814;0.785529375076294;0.8091036081314087;2069.642578125;1210.536865234375;1456.5882568359375;11.951446533203125;11.2156343460083;11.905659675598145
1606453200.0;1606474800.0;1606496400.0;0.798056960105896;0.8075324296951294;0.7753357887268066;1901.162109375;1100.6046142578125;1594.88623046875;12.06407356262207;10.730897903442383;11.398714065551758
1606456800.0;1606478400.0;1606500000.0;0.789984941482544;0.7925631999969482;0.7889617681503296;2074.186767578125;2257.37451171875;1594.07421875;9.836899757385254;9.992506980895996;10.46015739440918
1606460400.0;1606482000.0;1606503600.0;0.8153141736984253;0.7930818200111389;0.7203430533409119;2255.439453125;1211.3291015625;2646.05712890625;10.951024055480957;10.029989242553711;10.607705116271973
1606464000.0;1606485600.0;1606507200.0;0.8430087566375732;0.8176940679550171;0.7333739995956421;2256.222412109375;1210.5745849609375;2646.04345703125;11.327603340148926;10.457976341247559;10.493758201599121
1606467600.0;1606489200.0;1606510800.0;0.8561465740203857;0.7964845895767212;0.719717264175415;2256.25341796875;1329.0751953125;2858.28466796875;11.202127456665039;11.016592979431152;10.137446403503418
1606471200.0;1606492800.0;1606514400.0;0.8312594890594482;0.7914490699768066;0.698415994644165;2075.990234375;1457.82861328125;8597.2724609375;10.592695236206055;10.989791870117188;10.865386962890625
1606474800.0;1606496400.0;1606518000.0;0.8153141736984253;0.7966216802597046;0.7514861822128296;2076.746826171875;1595.0693359375;9.969209968386869e+36;10.336224555969238;10.763715744018555;11.559744834899902
1606478400.0;1606500000.0;1606521600.0;0.7975369095802307;0.7848416566848755;0.7413997650146484;2078.008544921875;1744.085205078125;9.969209968386869e+36;9.12956714630127;9.75438117980957;11.147603988647461
1606482000.0;1606503600.0;1606525200.0;0.7930964231491089;0.7530118227005005;0.7937984466552734;1331.0379638671875;9095.826171875;9.969209968386869e+36;9.130289077758789;9.770943641662598;11.121172904968262
1606485600.0;1606507200.0;1606528800.0;0.8126581907272339;0.687811017036438;0.7747400999069214;1330.3076171875;2443.591796875;1323.210205078125;10.101941108703613;9.786048889160156;13.594793319702148
1606489200.0;1606510800.0;1606532400.0;0.8092401027679443;0.7355402708053589;0.7556052803993225;1329.299072265625;8601.017578125;813.9644165039062;10.781730651855469;9.149909019470215;13.140804290771484
1606492800.0;1606514400.0;1606536000.0;0.7968348264694214;0.7174279689788818;0.7270410060882568;1596.3106689453125;8598.2744140625;9.969209968386869e+36;10.797513961791992;9.735797882080078;13.473628044128418
1606496400.0;1606518000.0;1606539600.0;0.7965450882911682;0.7226160764694214;0.7370662689208984;1595.579833984375;9.969209968386869e+36;9.969209968386869e+36;10.382242202758789;10.313979148864746;14.972757339477539
1606500000.0;1606521600.0;1606543200.0;0.7805683612823486;0.7516376972198486;0.7401633262634277;1594.3050537109375;9.969209968386869e+36;2626.72705078125;7.292721271514893;10.130634307861328;11.928895950317383
1606503600.0;1606525200.0;1606546800.0;0.7418267130851746;0.7095847129821777;0.7034659385681152;9094.7431640625;9.969209968386869e+36;9.969209968386869e+36;7.293130397796631;11.047587394714355;14.066158294677734
1606507200.0;1606528800.0;1606550400.0;0.6831719875335693;0.7262927293777466;0.7589316368103027;2442.470458984375;9.969209968386869e+36;9.969209968386869e+36;7.5065693855285645;12.453363418579102;14.135574340820312
1606510800.0;1606532400.0;1606554000.0;0.696584165096283;0.7651262283325195;0.7530112862586975;8601.9697265625;1323.9620361328125;9.969209968386869e+36;7.5463433265686035;12.319640159606934;14.581753730773926
1606514400.0;1606536000.0;1606557600.0;0.7547963857650757;0.7419487237930298;0.7885799407958984;2439.234619140625;9.969209968386869e+36;9.969209968386869e+36;8.634383201599121;14.367705345153809;18.238706588745117
1606518000.0;1606539600.0;1606561200.0;0.7643178701400757;0.7673698663711548;0.6993921399116516;2437.0009765625;2426.472900390625;9.969209968386869e+36;8.980791091918945;13.1987886428833;13.089212417602539
1606521600.0;1606543200.0;1606564800.0;0.7621970176696777;0.7690479159355164;0.7432765364646912;9.969209968386869e+36;2841.3955078125;9.969209968386869e+36;8.555082321166992;11.79931354522705;13.156572341918945
