times2_sh;times2_mh;times2_lh;x_wind_10m_sh;x_wind_10m_mh;x_wind_10m_lh;y_wind_10m_sh;y_wind_10m_mh;y_wind_10m_lh
1611421200.0;1611442800.0;1611464400.0;7.916988372802734;6.231195449829102;4.387569427490234;0.23994827270507812;1.2239103317260742;3.4338645935058594
1611424800.0;1611446400.0;1611468000.0;6.952606201171875;6.658233642578125;5.164751052856445;1.3442087173461914;2.9844064712524414;2.8063125610351562
1611428400.0;1611450000.0;1611471600.0;7.161275863647461;6.833745956420898;6.917207717895508;1.7010173797607422;2.7731542587280273;5.104081153869629
1611432000.0;1611453600.0;1611475200.0;7.097723007202148;6.201459884643555;4.90190315246582;1.9759464263916016;2.558279037475586;3.990079879760742
1611435600.0;1611457200.0;1611478800.0;6.463541030883789;5.859272003173828;3.9978904724121094;1.9070634841918945;2.4283676147460938;3.768451690673828
1611439200.0;1611460800.0;1611482400.0;6.422004699707031;5.290718078613281;4.509433746337891;2.797652244567871;2.6645774841308594;3.6118927001953125
1611442800.0;1611464400.0;1611486000.0;6.508716583251953;5.26585578918457;3.779684066772461;1.284078598022461;2.862649917602539;4.305484771728516
1611446400.0;1611468000.0;1611489600.0;6.51304817199707;5.456687927246094;3.3495616912841797;2.981968879699707;2.5660266876220703;4.9352264404296875
1611450000.0;1611471600.0;1611493200.0;6.611715316772461;4.923738479614258;3.5292415618896484;2.891934394836426;4.182514190673828;5.211345672607422
1611453600.0;1611475200.0;1611496800.0;6.652259826660156;3.4115028381347656;3.328052520751953;2.269519805908203;3.4492549896240234;5.054140090942383
1611457200.0;1611478800.0;1611500400.0;6.515434265136719;4.619333267211914;3.749378204345703;2.03481388092041;4.179204940795898;5.1613616943359375
1611460800.0;1611482400.0;1611504000.0;6.153253555297852;4.617368698120117;3.388582229614258;2.479397773742676;4.969593048095703;5.350179672241211
1611464400.0;1611486000.0;1611507600.0;6.264987945556641;3.870840072631836;2.801687240600586;2.7974300384521484;4.81224250793457;5.43316650390625
1611468000.0;1611489600.0;1611511200.0;4.807615280151367;3.6485862731933594;1.537649154663086;2.9095497131347656;5.147165298461914;5.600341796875
