times1_sh;times1_mh;times1_lh;wind_speed_10m_sh;wind_speed_10m_mh;wind_speed_10m_lh;wind_direction_10m_sh;wind_direction_10m_mh;wind_direction_10m_lh;air_pressure_at_sea_level_sh;air_pressure_at_sea_level_mh;air_pressure_at_sea_level_lh;air_temperature_2m_sh;air_temperature_2m_mh;air_temperature_2m_lh;times2_sh;times2_mh;times2_lh;specific_convective_available_potential_energy_sh;specific_convective_available_potential_energy_mh;specific_convective_available_potential_energy_lh;atmosphere_convective_inhibition_sh;atmosphere_convective_inhibition_mh;atmosphere_convective_inhibition_lh
1578441600.0;1578463200.0;1578484800.0;17.75959014892578;20.19532012939453;22.045162200927734;247.40423583984375;250.0111083984375;245.080810546875;98491.0;99358.8125;99705.0;282.13873291015625;280.5104064941406;280.6587829589844;1578441600.0;1578463200.0;1578484800.0;15.046875;136.625;146.828125;1000.0000610351562;3.0;6.015652656555176
1578445200.0;1578466800.0;1578488400.0;16.336444854736328;20.973617553710938;21.7388858795166;256.6064453125;246.16818237304688;249.65631103515625;98651.5;99453.125;99759.25;281.6057434082031;280.37982177734375;280.7113037109375;1578445200.0;1578466800.0;1578488400.0;109.09375;129.2578125;140.375;0.37543153762817383;10.562500953674316;2.5156445503234863
1578448800.0;1578470400.0;1578492000.0;19.626895904541016;21.060081481933594;21.625015258789062;260.6930847167969;244.69949340820312;249.03228759765625;98853.875;99519.5625;99816.9375;281.1847229003906;280.41448974609375;280.82269287109375;1578448800.0;1578470400.0;1578492000.0;5.1796875;107.3671875;138.15625;1000.0003662109375;14.64062786102295;7.093769073486328
1578452400.0;1578474000.0;1578495600.0;19.528715133666992;20.841808319091797;21.391616821289062;258.90228271484375;244.56533813476562;249.07723999023438;99017.625;99610.375;99871.1875;280.8323059082031;280.46490478515625;280.8589172363281;1578452400.0;1578474000.0;1578495600.0;31.234375;128.890625;165.78125;1000.0;6.343777179718018;9.35939884185791
1578456000.0;1578477600.0;1578499200.0;19.647884368896484;20.791175842285156;20.905956268310547;258.1851501464844;242.70758056640625;252.25128173828125;99146.5;99649.75;99955.6875;280.6374816894531;280.5469055175781;280.8832702636719;1578456000.0;1578477600.0;1578499200.0;90.3515625;156.296875;214.59375;1000.0001220703125;25.062501907348633;0.14062997698783875
1578459600.0;1578481200.0;1578502800.0;19.91131019592285;21.423748016357422;20.458431243896484;253.94097900390625;243.84202575683594;251.97915649414062;99263.125;99668.3125;100036.5625;280.5489807128906;280.68017578125;280.57000732421875;1578459600.0;1578481200.0;1578502800.0;95.71875;190.234375;92.921875;1000.0000610351562;1.2031253576278687;1000.0
1578463200.0;1578484800.0;1578506400.0;19.56463623046875;21.657018661499023;20.444246292114258;252.20309448242188;246.28082275390625;255.0167236328125;99307.25;99727.875;100168.1875;280.50836181640625;280.5155944824219;280.5314025878906;1578463200.0;1578484800.0;1578506400.0;43.59375;185.359375;99.984375;1000.0000610351562;1.1875187158584595;1000.0
1578466800.0;1578488400.0;1578510000.0;20.335796356201172;21.775999069213867;19.297996520996094;249.06307983398438;252.16622924804688;256.4455261230469;99419.875;99750.625;100226.25;280.38037109375;280.65362548828125;280.6358947753906;1578466800.0;1578488400.0;1578510000.0;127.234375;176.78125;121.28125;5.484444618225098;0.35937613248825073;9.171876907348633
1578470400.0;1578492000.0;1578513600.0;20.6752986907959;22.113037109375;18.59246253967285;246.63385009765625;251.2183837890625;257.6793212890625;99500.6875;99800.625;100300.375;280.4698486328125;280.7455139160156;280.6741943359375;1578470400.0;1578492000.0;1578513600.0;125.9140625;171.4375;114.65625;10.390645980834961;2.062506675720215;7.656251907348633
1578474000.0;1578495600.0;1578517200.0;20.917156219482422;21.7512149810791;18.221633911132812;243.81362915039062;251.48165893554688;256.5300598144531;99584.875;99879.5625;100377.8125;280.4464416503906;280.7447204589844;280.64532470703125;1578474000.0;1578495600.0;1578517200.0;112.9375;126.78125;121.71875;129.984375;14.23437786102295;3.203131914138794
1578477600.0;1578499200.0;1578520800.0;20.83378791809082;21.60828399658203;17.861072540283203;242.5692138671875;252.61988830566406;257.9500732421875;99641.875;99966.5;100447.1875;280.59521484375;280.7447204589844;280.67059326171875;1578477600.0;1578499200.0;1578520800.0;171.3515625;133.65625;134.71875;0.7968847155570984;3.859388589859009;2.640629291534424
1578481200.0;1578502800.0;1578524400.0;21.596067428588867;21.218881607055664;16.756134033203125;244.10299682617188;255.5006561279297;259.1470642089844;99679.4375;100081.5625;100524.375;280.649169921875;280.64715576171875;280.6978454589844;1578481200.0;1578502800.0;1578524400.0;169.625;133.625;123.234375;0.9375061988830566;3.250004291534424;4.203142166137695
1578484800.0;1578506400.0;1578528000.0;21.002309799194336;20.14435386657715;15.32594108581543;246.36941528320312;254.5704803466797;257.29547119140625;99674.3125;100131.875;100617.5625;280.3963623046875;280.5672912597656;280.5263977050781;1578484800.0;1578506400.0;1578528000.0;80.28125;115.5;66.40625;1000.0;13.421881675720215;1000.0
1578488400.0;1578510000.0;1578531600.0;21.311023712158203;19.70172119140625;13.656390190124512;251.17819213867188;256.06494140625;254.3591766357422;99715.5;100191.6875;100678.6875;280.52032470703125;280.568359375;280.4517517089844;1578488400.0;1578510000.0;1578531600.0;166.28125;96.671875;68.0234375;4.625003337860107;1000.0;1000.0
1578492000.0;1578513600.0;1578535200.0;21.355499267578125;19.073822021484375;12.606671333312988;251.95895385742188;258.15484619140625;250.24517822265625;99781.8125;100258.3125;100716.8125;280.5638732910156;280.5759582519531;280.34832763671875;1578492000.0;1578513600.0;1578535200.0;154.40625;85.640625;105.0625;2.500000238418579;1000.0;10.812508583068848
1578495600.0;1578517200.0;1578538800.0;21.36297607421875;18.079479217529297;11.910638809204102;252.2794189453125;258.9338073730469;248.95120239257812;99865.125;100359.5625;100722.75;280.622802734375;280.5865783691406;280.34033203125;1578495600.0;1578517200.0;1578538800.0;157.109375;80.125;101.046875;4.140631198883057;1000.0;14.5313081741333
1578499200.0;1578520800.0;1578542400.0;21.19926643371582;17.53729248046875;13.928239822387695;252.73703002929688;259.391845703125;239.2032470703125;99981.25;100438.125;100680.1875;280.6026611328125;280.5582580566406;280.2433776855469;1578499200.0;1578520800.0;1578542400.0;156.875;82.921875;104.3984375;3.093792676925659;1000.0;6.56250524520874
